feature,MEL,NV,BCC,BKL
age_norm,0.13901547233203482,0.6253882767683221,0.09429131115948852,0.36913274465091483
sex_male,0.029132403750371988,0.09156420588427189,0.03738629670592096,0.044302773319217656
sex_female,0.024213792899135535,0.035494510874196444,0.008539698676780465,0.046519954267833626
sex_unknown,0.0,0.0,0.0,0.0014766341716486184
site_anterior_torso,0.031936314978715255,0.16706627865525395,0.01960941283965236,0.06982710458497053
site_head_neck,0.007235617323680287,0.014875704450180357,0.06563986693544666,0.058198010771702016
site_lateral_torso,0.0,0.0014252067514627167,0.0,0.0
site_lower_extremity,0.012683231422465437,0.057090255734469304,0.061341164545097394,0.03487503769385086
site_oral_genital,0.0,0.0,0.0,0.0
site_palms_soles,0.009890012419332463,0.0,0.0,0.0
site_posterior_torso,0.019426227158976864,0.053181456466384065,0.006502500526997928,0.027316321256441012
site_upper_extremity,0.09993379362654943,0.011982225607611228,0.1142105962687379,0.014674509372491328
site_unknown,0.004225181035874739,0.05705021457775079,0.010032604500760725,0.030715654495455044
site_unknown2,0.0,0.0,0.0,0.0
