group,class,sensitivity,specificity,fnr,ppv,f1,auc,support,condition
occlude_none,MEL,0.7201767304849482,0.9397821909029661,0.27982326951357905,0.722304283603069,0.7212389375520346,0.9319705090672024,679,none
occlude_none,NV,0.8737060041403345,0.9063670411980169,0.12629399585914788,0.9060654857751443,0.8895915673521338,0.9585208208018591,1932,none
occlude_none,BCC,0.8697394789561729,0.9760751059960703,0.13026052104182312,0.8460038986338285,0.8577075093798235,0.9868904981374014,499,none
occlude_none,AK,0.7769230769171006,0.97929719422474,0.22307692307520713,0.5706214689233299,0.6579804555334912,0.9733367558619533,130,none
occlude_none,BKL,0.709923664120331,0.9668427230044111,0.2900763358771245,0.7117346938757354,0.7108280249758968,0.9467929822360799,393,none
occlude_none,DF,0.8611111110871914,0.9957503320050476,0.13888888888503087,0.6595744680710729,0.7469879512980113,0.9963626973587133,36,none
occlude_none,VASC,0.9210526315547092,0.9981397820884937,0.07894736841897508,0.8333333333134921,0.874999999479375,0.997545351553212,38,none
occlude_none,SCC,0.6276595744614079,0.9916374426757508,0.3723404255279538,0.6555555555482716,0.6413043473193525,0.9612234473021138,94,none
occlude_none,AGGREGATE,0.7950365339735087,,,,0.7625798496155048,0.9690803827898169,3801,none
occlude_image,MEL,0.0,0.9999999999996797,0.9999999999985273,0.0,0.0,0.4671701328120357,679,image
occlude_image,NV,0.09886128364384117,0.9828785446757716,0.9011387163556412,0.8565022421486256,0.17726218078876924,0.7746215079420468,1932,image
occlude_image,BCC,0.0,0.9999999999996971,0.999999999997996,0.0,0.0,0.5069002329310347,499,image
occlude_image,AK,0.31538461538218937,0.9351675292833193,0.6846153846101184,0.14695340501739443,0.20048899712039023,0.763747040211219,130,image
occlude_image,BKL,0.0,0.9999999999997066,0.9999999999974555,0.0,0.0,0.5308875091089369,393,image
occlude_image,DF,0.0,0.9999999999997344,0.9999999999722223,0.0,0.0,0.7348310461856278,36,image
occlude_image,VASC,0.0,0.9999999999997342,0.9999999999736843,0.0,0.0,0.5410331902037848,38,image
occlude_image,SCC,0.8936170212670892,0.1327218775289634,0.10638297872227252,0.025462261291292677,0.04951370463221614,0.6276165276733494,94,image
occlude_image,AGGREGATE,0.16348286503813791,,,,0.053408110401951085,0.6183508983835043,3801,image
occlude_metadata,MEL,0.6863033873333044,0.9477898782828482,0.31369661266522286,0.7408585055632101,0.7125382257993353,0.9301607009592242,679,metadata
occlude_metadata,NV,0.9026915113866963,0.8683788121985723,0.09730848861278607,0.8763819095472983,0.8893421718606961,0.9534068716234255,1932,metadata
occlude_metadata,BCC,0.8757515030042571,0.9766807995151494,0.12424849699373898,0.8501945525275288,0.8627838099623747,0.9862693284813115,499,metadata
occlude_metadata,AK,0.7538461538403551,0.9874693543990772,0.24615384615195268,0.6805555555508295,0.7153284666493687,0.973709741634013,130,metadata
occlude_metadata,BKL,0.6844783714995306,0.9715375586851609,0.31552162849792487,0.7349726775936203,0.7088274039783433,0.9437571676880623,393,metadata
occlude_metadata,DF,0.8333333333101852,0.9970783532533872,0.16666666666203706,0.7317073170553243,0.7792207787026479,0.9967057695145344,36,metadata
occlude_metadata,VASC,0.9210526315547092,0.9984055275043853,0.07894736841897508,0.8536585365645449,0.8860759488453773,0.996772591857001,38,metadata
occlude_metadata,SCC,0.6170212765891806,0.9951443215535487,0.3829787234001811,0.7631578947268005,0.6823529406740484,0.9682185514466592,94,metadata
occlude_metadata,AGGREGATE,0.7843097710728677,,,,0.7795587188152381,0.9686250904005289,3801,metadata
