,MEL,NV,BCC,AK,BKL,DF,VASC,SCC
MEL,0,14,0,42,0,0,0,623
NV,0,191,0,52,0,0,0,1689
BCC,0,5,0,62,0,0,0,432
AK,0,2,0,41,0,0,0,87
BKL,0,5,0,69,0,0,0,319
DF,0,3,0,0,0,0,0,33
VASC,0,3,0,3,0,0,0,32
SCC,0,0,0,10,0,0,0,84
